Term,Definition,"Notes, Examples"
"to draw (drew, drawn)",rajzol,Peter says I will learn how to draw.
to direct,rendez,Spielberg directs movies on a daily basis.
"to fly (flew, flown)",repül,Birds fly.
"to cry (cried, cried)",sír,Don't cry like a baby.
"to smell (smelt, smelt)",szagol,I can smell you've just smoked.
to clean,takarít,Let's clean our teeth.
"to know (knew, known)",tud,The more you learn the more you know.
to jump,ugrik,The frog jumped over the goat.
"to swim (swam, swum)",úszik,Tamás Darnyi swims like a dolphin.
"to sit (sat, sat)",ül,Aragorn and Gandalf sat by the fireplace.
"to cut (cut, cut)",vág,Don't cut your finger with that knife.
"to fight (fought, fought)",verekszik,Real heroes have to fight their way through.
"to come (came, come)",jön,There she comes.
"to go (went, gone)",megy,The Soviet troops went home after a while.
"to begin (began, begun)",kezd,Where shall I begin?
"to choose (chose, chosen)",választ,It's hard to choose between MSZP and Fidesz.
"to hide (hid, hidden)",rejt,Robin hid his face in his hood.
"to hurt (hurt, hurt)",sért,How can you always hurt my feelings?
"to leave (left, left)",(ott)hagy,Leave him alone!
"to say (said, said)",mond,What are you trying to say?
"to speak (spoke, spoken)",beszél,Kennedy spoke better than Hruscsov.
Afganistan,Afganisztán,"Lang: Afgani, Adj (sy): ua., Adj (sg): ua."
United States of America,Amerikai Egyesült Államok,"Lang: English, Adj (sy): American, Adj (sg): ua."
England,Anglia,"Lang: English, Adj (sy): Englishman, Englishwoman, Adj (sg): british"
Australia,Ausztrália,"Lang: English, Adj (sy): Australian, Adj (sg): ua."
Austria,Ausztria,"Lang: German, Adj (sy): Austrian, Adj (sg): ua."
Belgium,Belgium,"Lang: -, Adj (sy): Belgian, Adj (sg): ua."
Brasil,Brazília,"Lang: Portugese, Adj (sy): Brasilian, Adj (sg): ua."
Czech Republic,Csehország,"Lang: Czech, Adj (sy): Czech, Adj (sg): czech"
Denmark,Dánia,"Lang: Danish, Adj (sy): Dane, Adj (sg): danish"
United Arab Emirates,Egyesült Arab Emirátusok,"Lang: Arabian, Adj (sy): Arab, Adj (sg): arabic"
United Kingdom,Egyesült Királyság,"Lang: English, Adj (sy): (mikor mi), Adj (sg): british"
Egypt,Egyiptom,"Lang: Arabian, Adj (sy): Egyptian, Adj (sg): ua."
Ivory Coast,Elefántcsontpart,"Lang: -, Adj (sy): sy from I. C., Adj (sg): egyptian"
People's Democratic Republic of North Korea,Észak-Koreai Népi Dem. Közt.,"Lang: , Adj (sy): -, Adj (sg): -"
European Union,Európai Unió,"Lang: -, Adj (sy): -, Adj (sg): -"
Finland,Finnország,"Lang: Finnish, Adj (sy): Finn, Finnlander, Adj (sg): finnish"
France,Franciaország,"Lang: French, Adj (sy): French, Frenchman (woman), Adj (sg): french"
Greece,Görögország,"Lang: Greek, Adj (sy): ua., Adj (sg): greek"
"The Netherlands, Holland",Hollandia,"Lang: Dutch, Adj (sy): ua., Adj (sg): dutch"
India,India,"Lang: Indian, Adj (sy): ua., Adj (sg): ua."
Iraq,Irak,"Lang: Arabic, Adj (sy): Iraqi, Adj (sg): ua."
Iran,Irán,"Lang: ?, Adj (sy): Iranian, Adj (sg): ua."
Ireland,Írország,"Lang: Irish, Adj (sy): The Irish (írek), Adj (sg): irish"
Israel,Izrael,"Lang: Hebrew, Jewish, Adj (sy): Israeli, Adj (sg): ua."
Canada,Kanada,"Lang: -, Adj (sy): Canadian, Adj (sg): ua."
The Caribbean,Karib szk.,"Lang: -, Adj (sy): sy from the Carebbean, Adj (sg): -"
China,Kína,"Lang: Chinese, Adj (sy): Chinaman, Adj (sg): chinese"
Corsica,Korzika,"Lang: -, Adj (sy): -, Adj (sg): -"
Cuba,Kuba,"Lang: Spanish, Adj (sy): Cuban, Adj (sg): ua."
Poland,Lengyelország,"Lang: Polish, Adj (sy): Pole, Polish, Adj (sg): polish"
Latvia,Lettország,"Lang: ?, Adj (sy): Latvian, Adj (sg): ua."
Hungary,Magyarország,"Lang: Hungarian, Adj (sy): ua., Adj (sg): ua."
Great Britain,Nagy-Britannia,"Lang: English, Adj (sy): (mikor mi), Adj (sg): british"
Germany,Németország,"Lang: German, Adj (sy): ua., Adj (sg): ua."
Norway,Norvégia,"Lang: Norwegian, Adj (sy): ua., Adj (sg): ua."
Italy,Olaszország,"Lang: Italian, Adj (sy): ua., Adj (sg): ua."
Russia,Oroszország,"Lang: Russian, Adj (sy): ua., Adj (sg): ua."
Prussia,Poroszország,"Lang: -, Adj (sy): -, Adj (sg): -"
Portugal,Portugália,"Lang: Portugese, Adj (sy): ua., Adj (sg): ua."
Romania,Románia,"Lang: Romanian, Adj (sy): ua., Adj (sg): ua."
Scotland,Skócia,"Lang: Scottish, Adj (sy): ua., Adj (sg): scotch"
Spain,Spanyolország,"Lang: Spanish, Adj (sy): Spaniard, Adj (sg): spanish"
Switzerland,Svájc,"Lang: Swiss …, Adj (sy): Swiss, Adj (sg): ua."
Sweden,Svédország,"Lang: Swedish, Adj (sy): Swede, Adj (sg): swedish"
Sicily,Szicília,"Lang: Italian, Adj (sy): ?, Adj (sg): ?"
Syria,Szíria,"Lang: Arabic, Adj (sy): Syrian, Adj (sg): ua."
Slovakia,Szlovákia,"Lang: Slovak, Adj (sy): ua., Adj (sg): ua."
Ukraine,Ukrajna,"Lang: Ukranian, Adj (sy): ua., Adj (sg): ua."
Wales,Wales,"Lang: Welsh, Adj (sy): Welsh, Welshman (woman), Adj (sg): welsh"
brain,agy,
lip,ajak,
chin,áll,
mandible,állkapocscsont,
face,arc,
moustache,bajusz,
ankle,boka,
bristles,borosta,
head,fej,
tooth,fog,
gum,fogíny,
teeth (tooth tsz. rendh),"fogsor, fogak",
ear,fül,
ear-lobe,fülcimpa,
hair,haj,
"temple, temporal",halánték,
forehead,homlok,
iris,írisz,
"yoke-bone, zygomatic bone",járomcsont,
top of the head,"kobak, fejtető",
tongue,nyelv,
cheek (her cheeks: az arcocskája),orca,
nose,orr,
mouth,száj,
beard,szakáll,
eye,szem,
"eye-socket, orbit",szemgödör,
eye-lid,szemhéj,
eye-brow,szemöldök,
"eye-lash, lashes",szempilla,
frickles,szeplő,
neck,nyak,
occiput,nyakszirt,
nape,tarkó,
throat,torok,
rib,borda,
rib cage,bordakosár,
skin,bőr,
hip,csípő,
waist,derék,
"bottom, bum, ass, buttocks","fenék, segg",
"spine, backbone (közny.)",gerinc,
stomach,gyomor,
abdomen,has,
abdominal wall,hasfal,
oblique muscle,hasizom,
armpit,hónalj,
muscle,izom,
"umbilicus, belly button",köldök,
clavicle,kulcscsont,
"shoulder bone, scapula",lapocka,
nipple,mellbimbó,
pectoral muscle,mellizom,
chest,"mellkas, mell, ffi",
ass,segg,
asshole,segglyuk (értsd: seggfej),
"chest-bone, sternum (-> sternal jelz.)",szegycsont,
heart,szív,
pubic hair,"fanszőrzet, nemi szőrzet",
buttocks,tompor,
blood,vér,
lower arm,alkar,
wrist,csukló,
upper arm,felkar,
annular finger,gyűrűsujj,
thumb,hüvelykujj,
arm,kar,
hand,"kéz, kézhát",
pinky,kisujj,
elbow,könyék,
nail,köröm,
matrix,körömágy,
middle finger,középsőujj,
index (finger),mutatóujj,
palm,tenyér,
finger(s),ujj,
pad,ujjbegy,
"digit, knuckle",ujjperc,
shoulder,váll,
shoulder girdle (pectoral girdle),vállöv,
thigh,comb,
"leg, foot","láb, lábszár",
foot,lábfej,
toe,lábujj,
heel,sarok,
shinbone,sípcsont,
"sole, plantar pain (fáj a talpad)",talp,
knee,térd,
lower abdominal pain,alhasi fájdalom,
knight,lovag,
whole,egész,
whale,bálna,
suspension,felfüggesztés,
pre-election,előválasztás,
cage,kosár,
language,nyelv (mint beszélt),
heel,cipősarok,
lipstick,rúzs,
clit,csikló,
prick,farok,
dick,fasz,
penis,férfi nemiszerv,
weenie,fütyi,
"testicle, balls",here,
vagina,hüvely,
"glans, head",makk,
cunt,pina,
pussy,punci,
Suck my dick / cock / pecker,Szopd le a faszom / farkam / dákóm,
Lick my balls,Nyalogasd a golyóimat,
Lick my pussy / slit / cunt,Nyald ki a puncim / micsodám / pinám,
Fuck my ass,Basszál seggbe,
Fuck me hard,Bassz meg jó erősen,
Ram it in my ass / cunt,Verd bele a seggembe / pinámba,
Come on my face  / in my mouth!,Élvezz az arcomra / a számba,
Come inside,Élvezz belém,
Harder / Deeper / Faster / Slower,Erősebben / mélyebben / gyorsabban / lassabban,
More gently,Finomabban,
Put it all the way in,Tedd be az egészet,
Kiss me :-),Csókolj meg! :-),
Screw me from behind,Kúrj meg hátulról,
Doggy style,Négykézláb,
Knee down / Sit up / Lay down,Térdelj le / Ülj fel / Feküdj le,
Don't stop!,Ne hagyd abba,
Keep on fucking,Basszál még,
What a nice big cock you have... :-),Milyen szép nagy farkad van...,
Eat my cum,Edd meg a gecimet,
Thanks,Kösz,
Shall we do it again? :-),Csináljuk még egyszer? :-),
window,ablak,
bed,ágy,
door,ajtó,
lamp,"állólámpa, lámpa",
"mount, stage",állvány,
table,asztal,
hair conditioner,hajbalzsam,
"front door, main entrance",bejárat,
tap,csap,
tiles,csempe,
fixture,csillár,
cushion,díszpárna,
box,doboz,
coffee table,dohányzóasztal,
dining table,étkezőasztal,
wall,fal,
drawcase,fiókosszekrény,
armchair,"fotel, karosszék",
curtain,függöny,
"heater, radiator",fűtőtest,
ashtray,hamutál,
loudspeaker,hangszóró,
Hi-Fi,hifi,
fridge,hűtőgép,
desk,íróasztal,
bath,"kád, zuhany(zó)",
spoon,kanál,
"couch, sofa",kanapé,
picture,kép,
knife,kés,
plug,konnektor,
basket,kosár,
bookshelf,könyvespolc,
sheet,lepedő,
basin,mosdó,
printer,nyomtató,
reading lamp,olvasólámpa,
quilt,paplan,
pillow,párna,
glass,pohár,
shelf,"polc, fürdőszobapolc",
shades,redőny,
gardrobe,ruhásszekrény,
shampoo,sampon,
soap,szappan,
chair,szék,
wardrobe,szekrény,
personal computer,személyi számítógép,
carpet,szőnyeg,
plate,tányér,
remote control,távirányító,
"TV, television",televízió,
tablecloth,terítő,
towel,törölköző,
mirror,tükör,
gas cooker,tűzhely,
iron,vasaló,
vase,váza,
fork,villa,
switch,villanykapcsoló,
"lavatory, men's room, rest room",wc (helység),
toilet,wc (tárgy),
toilet-paper,wc-papír,
bath-tub,fürdőkád,
low,alacsony (élettelen),
short,alacsony (ember),
tiny,apró,
"silly, stupid",buta,
expensive,drága,
sweet,édes,
strong,erős,
frightening,félelmetes,
evil,gonosz,
weak,gyenge,
fast,gyors,
beautiful,gyönyörű,
huge,hatalmas,
cold,hideg,
"good, fine",jó,
nice person,jó (ember),
bitter,keserű,
"small, little",kicsi,
slow,lassú,
high,magas (élettelen),
tall,magas (ember),
"big, large, great",nagy,
clever,okos,
cheap,olcsó,
dumb,ostoba,
"bad, wrong",rossz,
ugly,"rút, csúnya",
sour,savanyú,
salty,sós,
dark,sötét,
"beautiful, pretty",szép,
light,világos,
green,zöld,
blue,kék,
yellow,sárga,
black,fekete,
white,fehér,
grey,szürke,
red,piros,
pink,rózsaszín,
orange,narancssárga,
purple,lila,
sad,szomorú,
happy,vidám,
joyful,örömteli,
horrible,rettenetes,
T-shirt,póló,
"panties, undies, briefs",bugyi,
(a pair of) socks,zokni,
"underpants, drawers, briefs",alsógatya,
(a pair of) trousers,nadrág,
"sweater, jumper, sweatshirt",pulcsi,
cardigan,kardigán,
shirt,ing,
coat,kabát,
(a pair of) shoes,cipő,
boot(s),csizma,
"cap, bonnett",sapka,
"scarf, scarves",sál,
"glove(s), mitten(s) (egyujjas)",kesztyű,
(swimming) trunks,fürdőgatya,
swimsuit,fürdőruha,
tie,nyakkendő,
suit,öltöny,
"track suit, jogging",tréningruha,
sneakers,tornacsuka,
"gown, dress",egyberészes ruha,
sandal(s),szandál,
sleeveless,ujjatlan,
"long-sleeved, with long sleeves",hosszúujjú,
"short-sleeved, with short sleeves",rövidujjú,
bra,melltartó,
stocking(s),harisnya,
"tights, pantyhose",harisnyanadrág,
"turtle-neck, roll-neck",garbó,
blouse,blúz,
jacket,"dzseki, zakó, blézer",
"costume, coat and skirt",kosztüm,
hat,kalap,
"belt, girdle",öv,
shawl (vállra való),kendő,
"bathrobe, robe",fürdőköpeny,
"housecoat, dressing gown",pongyola,
fur-coat,bunda,
short,rövid,
thick,vastag,
warm,meleg,
"occasional, casual",alkalmi,
"outdoor clothes, day wear",utcai,
jeans (a pair of),farmer,
"pants, trousers, slacks",szövetnadrág,
pleated skirt,rakott,
knitted,kötött,
nylon,nylon,
linen,vászon,
lace,csipke,
patterned,mintás,
unicolored,egyszínű,
"multicolored, colorful",tarka,
"tasteful, stylish",ízléses,
tasteless,ízléstelen,
fluff,pehely,
leather,bőr,
high-heel shoes,magassarkú,
low-heel,lapos,
silk,selyem,
cotton,pamut,
wool,gyapjú,
thin,vékony,
skirt,szoknya,
miniskirt,miniszoknya,
"clasp, buckle",csat,
button,gomb,
zipper,zippzár,
Velcro,tépőzár,
"hair-slide, hair-grip",hajscsat,
swimming-cap,úszósapka,
glasses,szemüveg,
jewelry,ékszer,
ring,gyűrű,
necklace,nyakék,
bracelet,karkötő,
moccasin,saru,
To be or not to be,Lenni vagy nem lenni…,
The force is with you,Az erő veled van.,
May the force be with you,Az erő legyen veled.,
The exit is on the left hand side.,A kijárat balra van.,
Get well!,Jobbulást,
Always Coca-Cola,A jéghideg kokakóla az igazi,
The Lord of the Rings,A gyűrűk ura,
The return of the Jedi,A jedi visszatér,
The empire strikes back,A birodalom visszavág,
Pleased to meet you.,"Örülök, hogy megismerhettem",
All the best!,A legjobbakat,
It's a wonderful life.,Luis Armstrong szerint a világ,
Once upon a time...,Eccervót hónemvót,
Don't feed the animals!,Az állatokat etetni tilos!,
Smoking is prohibited.,Tilos a dohányzás,
Better safe than sorry.,"Jobb félni, mint megijedni",
As far as I know...,"Amennyire tudom…, tudomásom szerinte",
As for me...,Ami engem illet...,
I could (not) care less,"Le se szarom, nem izgat",
"Is it just me, or...","Csak én gondolom így, vagy...",
Enough is enough.,Ami sok az sok,
As good as it gets.,Lesz ez még így se,
I'm in love with you,Belédzúgtam,
Money makes the world go round,A világot a pénz mozgatja,
That's the way life goes.,Ilyen az élet,
Shut the fuck up,Fogd be a pofád!,
How much is it?,Mennyibe kerül az?,
What do you do for a living?,Te miből élsz?,
I don't do anything,Nem csinálok semmit,
Never ever,Soha de soha,
parquet,parketta,
strip-floor,hajópadló,
oil-cloth,linóleum,
"strip carpet, wall to wall carpet",padlószőnyeg,
floor tile(s),padlólap,
underfloor heating,padlófűtés,
porthole,hajóablak,
tiny window,kisablak,
window-sill,ablakpárkány,
"shades, blades",redőny,
flower-pot,virágcserép,
shutters,zsalugáter,
mug,bögre,
cup,csésze,
pot,fazék,
saucerpan,lábos,
pan,serpenyő,
kitchen cloth,konyharuha,
dish drops,mosogatószer,
sponge,szivacs,
(microwave) oven,(mikrohullámú) sütő,
cooker,gáztűzhely,
apron,kötény,
"ladle, dipper",merőkanál,
"wooden spoon, stirrer",fakanál,
cutlery cabin,evőeszköztartó,
oven mitt,konyhai hőálló kesztyű,
corkscrew,dugóhúzó,
bottle opener,sörnyitó,
cabinet,konyhaszekrény,
dishwasher,mosogatógép,
"clench, door-handle",kilincs,
"door frame, jamb",ajtófélfa,
"door-step, sill",köszöb,
doormat,lábtörlő,
sliding-door,tolóajtó,
swing-door,lengőajtó,
revolving-door,forgóajtó,
lock,zár,
padlock,lakat,
keyhole,kulcslyuk,
gate,kapu,
front door,bejárati ajtó,
gas-water-heater,gázbojler,
blowhole,szellőzőnyílás,
towel-rail,törölközőtartó,
"laundry box, linen-bin",szennyesláda,
washing-machine,mosógép,
rose,zuhanyrózsa,
boiler,kazán,
bath-mat,fürdőszobaszőnyeg,
"nippers, clip",csipesz,
toothbrush,fogkefe,
"chimney, funnel",kémény,
mansard,tetőtér,
roof-tile,tetőcserép,
gutter,ereszcsatorna,
"lightning-rod, lightning conductor",villámhárító,
slate roof,palatető,
deck-roof,lapos tető,
"front, fronting, facing",homlokzat,
suspended ceiling,álmennyezet,
gas-pipe,gázcső,
tapestry,faliszőnyeg,
"inlay, marquetry",intarzia,
"wall outlet, plug",konnektor,
rocking chair,hintaszék,
shagpile,porcica,
love-sit,kétszemélyes kanapé,
wall calendar,falinaptár,
heater,fűtőtest,
convector,konvektor,
"drawer, case",fiók,
tabletop,asztallap,
"staircase, stairway",lépcsőház,
corridor,folyosó,
"(hand)rail, bar",korlát,
elevator,lift,
aisle,körfolyosó,
landing (sose használtam ezt…),lépcsőforduló,
basement,alagsor,
ground floor / first floor,földszint,
cellar,pince,
tavern,borospince,
mailbox,levélszekrény,
garden,kert,
backyard,udvar,
"real estate, property,",birtok,
grass,fű,
tree,fa,
bush,bokor,
deckchair,nyugágy,
camp chair,kempingszék,
street,utca,
road,út,
square,tér,
"mews, alley","sikátor, köz",
boulevard,körút,
"overpass, overbridge, footbridge",felüljáró,
underpass,aluljáró,
tram,villamos,
trolley-bus,trolibusz,
bus,busz,
roundabout,körforgalom,
traffic lights,forgalmi jelzőlámpa,
lamppost,lámpaoszlop,
advertising pillar,hirdetőoszlop,
sign,kresztábla,
traffic,közlekedés,
"lane (inner, outer)","sáv (belső, külső)",
telephone booth,telefonfülke,
newsstand,újságosstand,
dog poop,kutyaszar,
"plash, puddle",pocsolya,
continuous/double white line,záróvonal,
crosswalk,zebra,
pedestrian,gyalogos,
street island,járdasziget,
passer-by,járókelő,
tobacconist,dohánybolt,
park,park,
"side-street, back-street",mellékutca,
"main road, highway, priority road",főútvonal,
"highway, interstate",autópálya,
billboard,óriásplakát,
"underground, subway",metró,
train,vonat,
railway,vasút,
"bicycle, bike",bicikli,
tunnel,alagút,
"cog-wheel railway, inclined railway",fogaskerekű,
public transport (trenszport),BKV,
"conductor, ticket inspector, checkman",kalauz,
bus driver,buszsofőr,
"taxi, cab, cabdriver","taxi, taxisofőr",
on foot,gyalog,
"by bus, by tram","busszal, villamossal",
by car,kocsival,
on the underground,metróval,
by train,vonattal,
"by taxi, in a cab",taxival,
by bike,biciklivel,
with x.y's car,x.y. kocsijával,
suburban railway,HÉV,
ticket,vonaljegy,
monthly / weekly pass (ticket),bérlet,
leash,póráz,
muzzle,szájkosár,
"lorry, truck",teherautó,
trailer,utánfutó,
"tow-car, trailer, extra coach",pótkocsi,
"lorry, truck",kamion,
tractor,traktor,
carriage,lovaskocsi,
"side-car, buddy seat",oldalkocsi,
sleeping-car,hálókocsi,
refreshment car,büfékocsi,
"goods train, freight train",tehervonat,
night,Holnap egész éjjel itthon leszek.,"Tomorrow I'm going to be at home all night. 
Tomorrow I'll be staying at home all night."
always,Nem volt ez mindig így.,"It wasn't always like that.
It hasn't always been like that. 
Things haven't always been like that, though."
pub,"Nyáron egy kocsmában töltöttem az éjszakáimat, mialatt a férjem csetelt.","During the summer I was spending my nights in a pub, while my husband was having a chat with some girls over the net."
little bit,"Ittam egy kicsit, mielőtt felmentem Fifihez.",I was drinking a little bit.
conversation,"Órákon keresztül beszélgettünk, mielőtt dugni kezdtünk.",I had been having a conversation with him for hours before we started fucking.
already,"Fifi már a múlté, mostantól nem gondolok rá.","Fifi is a part of the past already, I'm not thinking of him from now on."
husband,"Szeretném, ha a férjem se gondolna rá.","I wish my husband didn't think about him either.
I want my husband not to think about him either.
I'd like it a lot if my husband wouldn't be thinking of him either. 
I'd like my husband not thinking about him either."
throwing,"A gyerek órákon át hányt, mielőtt felébredtem a zajra.",The kid had been throwing up for hours and hours before I waked up at the noise.
good old guy,"Beszélgeténk apámmal, ivott a jó öreg.","I was having a conversation with my father, the good old guy was drinking."
bathing,Épp most fejeztem be a fürdést.,"I have just finished bathing.
I have just finished my bath."
telling a story,Csak ülök és mesélek.,I'm just sitting and telling a story.
lavish spending,"Ha így folytatjuk a költekezést, kifutunk a pénzből április végére.",If we go on like this with lavish spending we'll run out of money by the end of april.
keep telling,"Apám mindig mondta, hogy tanuljak meg angolul.",My father always kept telling me to learn english.
feeling sick,Órák óta betegnek érzem magam.,"I have felt sick for hours.
I've been feeling sick for hours."
revolve,A Föld a Nap körül kering.,The Earth revolves around the Sun.
riding,"Az év 365 napján a dugásra gondolok. Minden nap, egész nap.","I'm tinking of riding on all 365 days of the year. All day, every day."
ahead,előre,shoot ahead
afield,"mezőn, szabadon, távol",further afield
either,"akármelyik, bármelyik, egyik, mindkettő, valamelyik (a kettő közül)",
petrol,benzin,
petroleum,kőolaj,
pollution,szennyezés,
faith,"becsület, bizalom, hit, hűség, ígéret",
lingering,"hosszadalmas, késlekedő, habozó, habozik, hosszan időzik, marad",
decade,évtized,
unabated,nem csökkent (monoton növő),
progress,"haladás, előmenetel",
progressive,"haladó, fejlődő",
posh,"elegáns, flancos, menő, sikkes",
haunted / is,kísértet járta,
will be felt,érezhető lesz,
has either been,vagy volt,
bundle,"csomag, batyu, köteg",
overloading,túlterhelés (fv) - inf,
overriding,felülírás (fv) - inf,
to suppress,"elnyom, elfolyt",
certain,meghatározott,
as one might say,ahogyan mondani szokás,
bucket,"vödör, inf: tárolómező",
role,"szerep, funkció",
substitute,helyettesíteni,
vastly,"nagyon, mérhetetlenül, szertelenül",
subversion,felforgatás,
to subvert,"felforgat, aláaknáz",
subsequent,"elkövetkező, következő",
to mention,említ,
contract,szerződés,
ostensibly,"látszólagos, állítólagos, színlelt",
to protest,tiltakozni,
loudly,hangosan,
cluttered,telezsúfolt,
sparingly,takarékos,
to overuse,"elkoptat, elnyű",
consisting,fennmaradó,
greeting,köszöntés,
stumbling,"akadály, nehézség",
counterpart,"megfelelője, párja, hasonmás",
to withstand,"ellenáll, legyűr",
mass,tömeg (t),
penny-farthing,régi bicikli,
to abbreviate,rövidít,
identical,"azonos, ugyanolyan",
inherently,"elválaszthatatlanul, öröklötten",
apart,"félre, szét, ketté, külön, széjjel",
to approach sy,megközelít vmit,
outset,elindulás,
from the outset,kezdettől fogva,
to daunt,"ijeszt, félemlít",
a great deal of sg,jó csomó valamiből,
ability,képesség,
