English,Hungarian
always,mindig
ally,szövetséges
amanda,Amanda
amazing,elképesztő
ambassador,nagykövet
amber,borostyán
ambulance,mentőautó
amen,ámen
america,Amerika
american,Amerikai
americans,amerikaiak
among,között
amongst,között
amount,összeg
amy,Amy
analysis,elemzés
ancestors,ősök
ancient,ősi
and,és
and-,és-
anderson,Anderson
andrea,Andrea
andrew,András
andy,Andy
angel,angyal
angela,Angela
angeles,Angeles
angels,angyalok
anger,harag
angle,szög
angry,mérges
animal,állat
animals,állatok
ann,ann
anna,Anna
anne,Anne
annie,Annie
anniversary,évforduló
announce,bejelent
announcement,közlemény
announcer,bemondó
annoying,bosszantó
anonymous,névtelen
another,egy másik
answer,válasz
answered,válaszolt
answering,válaszadás
answers,válaszadás
anthony,anthony
antonio,Antonio
anxious,aggódó
any,Bármi
anybody,bárki
anymore,többé
anyone,bárki
anything,bármi
anytime,bármikor
anyway,akárhogyan is
anywhere,bárhol
apart,egymástól
apartment,lakás
apologies,bocsánat
apologize,bocsánatot kér
apology,bocsánatkérés
apparently,látszólag
appeal,fellebbezés
appear,megjelenik
appearance,kinézet
appeared,megjelent
appears,Megjelenik
applause,taps
apple,alma
application,Alkalmazás
apply,alkalmaz
appointment,időpont egyeztetés
appreciate,méltányol
approach,megközelítés
approaching,közeledik
appropriate,megfelelő
approve,jóváhagy
april,április
are,vannak
area,terület
areas,terület
aren,aréna
argue,érvel
arguing,vitatkozik
argument,érv
arm,kar
armed,fegyveres
arms,fegyver
army,hadsereg
around,körül
arrange,rendezni
arranged,elrendezett
arrangements,megállapodások
arrest,letartóztatás
arrested,letartóztatott
arrival,érkezés
arrive,megérkezik
arrived,megérkezett
arrives,Megérkezik
arriving,érkező
arrow,nyíl
arse,szamár
art,Művészet
arthur,Arthur
article,cikk
artist,művész
artists,művészek
arts,művészetek
ash,hamu
ashamed,megszégyenülve
ashes,hamu
ashley,Ashley
aside,félre
ask,kérdez
asked,kérdezte
asking,kérve
asks,- kérdezi
asleep,Alva
ass,szamár
assault,támadás
asshole,seggfej
assigned,kijelölt
assignment,feladat
assistance,támogatás
assistant,helyettes
association,Egyesület
assume,feltételezni
assumed,feltételezte
assuming,feltételezve
assure,biztosít
ate,evés
atmosphere,légkör
attached,csatolt
attack,támadás
attacked,megtámadott
attacking,támadó
attacks,támadások
attempt,kísérlet
attend,részt vesz
attention,Figyelem
attitude,hozzáállás
attorney,ügyvéd
attracted,vonzott
attractive,vonzó
audience,közönség
audition,meghallgatás
audrey,Audrey
august,augusztus
aunt,néni
auntie,néni
australia,Ausztrália
authorities,hatóság
authority,hatóság
autopsy,boncolás
available,elérhető
avenue,sugárút
average,átlagos
avoid,elkerül
awake,ébren
award,díj
aware,tudatában van
away,el
awesome,fantasztikus
awful,szörnyű
awfully,szörnyen
awkward,kínos
aye,igen
babe,kisbaba
babies,babák
baby,baba
back,vissza
background,háttér
backup,biztonsági mentés
backwards,visszafelé
bacon,szalonna
bad,rossz
badge,jelvény
badly,rosszul
bag,táska
bags,táskák
bail,óvadék
bailey,bailey
bait,csali
baker,pék
balance,egyensúly
ball,labda
balls,golyó
banana,banán
band,Zenekar
bang,bumm
banging,dörömbölés
bank,bank
banks,bankok
bar,rúd
barbara,Barbara
barely,alig
bargain,alku
barking,ugató
barn,istálló
barney,Barney
baron,báró
barrel,hordó
barry,barry
bars,rúd
base,bázis
baseball,baseball
based,alapú
basement,pince
basic,alapvető
basically,alapvetően
basis,alap
basket,kosár
basketball,kosárlabda
bastard,fattyú
bastards,roham
bat,denevér
bath,fürdőkád
bathroom,fürdőszoba
batman,Denevérember
battery,akkumulátor
battle,csata
bay,öböl
beach,strand
beam,gerenda
beans,bab
bear,medve
beard,szakáll
bears,medvék
beast,vadállat
beat,üt
beaten,legyőzött
beating,verés
beats,verés
beautiful,gyönyörű
beauty,szépség
became,lett
because,mert
becky,becsapott
become,válik
becomes,lesz
becoming,légy
bed,ágy
bedroom,hálószoba
bee,méh
beef,marhahús
been,már
beep,sípol
beeping,sípolás
beeps,sípol
beer,sör
before,előtt
beg,könyörög
began,elkezdett
begging,könyörgés
begin,kezdődik
beginning,kezdet
begins,elkezdődik
begun,megkezdett
behalf,nevében
behave,viselkedik
behavior,viselkedés
behind,mögött
being,lény
beings,lények
belief,hit
believe,hinni
believed,hitt
believes,hisz
believing,hívő
bell,harang
bells,harang
belong,tartozik
belonged,tartozott
belongs,tartozik
beloved,szeretett
below,lent
belt,öv
belly,has
ben,Ben
bench,pad
bend,hajlít
beneath,alatt
benefit,haszon
benny,Benny
berlin,Berlin
beside,mellett
besides,kívül
best,legjobb
bet,tét
beth,buta
betray,elárul
betrayed,elárult
better,jobb
between,között
betty,betty
beyond,túl
bible,Biblia
bid,ajánlattétel
big,nagy
bigger,nagyobb
biggest,legnagyobb
bike,bicikli
bill,számla
billion,"milliárd, ezermillió"
bills,számlák
billy,fütykösbot
bin,kuka
bingo,bingó
bird,madár
birds,madarak
birth,születés
birthday,születésnap
bishop,püspök
bit,bit
bitch,kurva
bitches,kurva
bite,harapás
bits,bitek
bitter,keserű
black,fekete
blackmail,zsarolás
blade,penge
blah,blah
blake,takár
blame,feddés
blank,üres
blanket,takaró
blast,robbanás
bleed,vérzik
bleeding,vérzés
bleep,robbant
bless,áldja
blessed,áldott
blessing,áldás
blew,fújt
blind,vak
block,Blokk
blocks,blokkok
bloke,pasas
blonde,szőke
blood,vér
bloody,véres
blow,fúj
blowing,fúj
blown,kifulladt
blows,fúj
blue,kék
board,tábla
boarding,beszállás
boat,hajó
boats,csónakok
bob,bob
bobby,büdös
bodies,test
body,test
bold,bátor
bomb,bomba
bombs,bombák
bond,kötvény
bone,csont
bones,csontok
bonnie,bonnie
boo,lehurrogás
book,könyv
booked,foglalt
books,könyvek
boom,bumm
boot,csomagtartó
booth,bódé
boots,csizma
booze,nyakal
border,határ
bored,unott
boring,unalmas
born,született
borrow,hitelt kölcsönöz
borrowed,kölcsönzött
boss,főnök
boston,Boston
both,mindkét
bother,zavar
bothered,zavart
bothering,zavaró
bottle,üveg
bottles,palack
bottom,alsó
bought,vett
bound,összekötött
bout,küzdelem
bow,íj
bowl,tál
box,doboz
boxes,dobozok
boy,fiú
boyfriend,fiú barát
boys,fiúk
brad,fejnélküli
brain,agy
brains,agyvelő
brakes,fékez
branch,ág
brand,márka
brandon,Brandon
brave,bátor
bravo,bravo
bread,kenyér
break,szünet
breakfast,reggeli
breaking,törés
breaks,szünet
breast,mell
breasts,mellek
breath,lehelet
breathe,lélegzik
breathing,lélegző
brian,brian
brick,tégla
bride,menyasszony
bridge,híd
brief,rövid
bright,fényes
brilliant,ragyogó
bring,hoz
bringing,hozás
brings,hoz
britain,Britannia
british,angol
bro,tesó
broad,széles
broke,törött
broken,törött
brother,fiú testvér
brother-in-law,Sógor
brothers,testvérek
brought,hozott
brown,barna
bruce,bruce
brush,kefe
buck,bak
bucket,vödör
bucks,dollár
bud,bimbó
buddies,barátok
buddy,haver
budget,költségvetés
bug,bogár
bugs,rovarok
build,épít
building,épület
buildings,épületek
built,épült
bull,bika
bullet,golyó
bullets,golyó
bullshit,hülyeség
bum,ingyenélő
bump,ütődés
bunch,csokor
bunny,nyuszi
burden,teher
bureau,hivatal
burger,hamburger
buried,eltemetett
burn,éget
burned,megégett
burning,égő
burns,éget
burnt,megégett
burst,robbanás
bury,eltemet
bus,busz
bush,bokor
business,üzleti
bust,Mellbőség
busted,elrobbant
busy,elfoglalt
but,de
butt,csikk
butter,vaj
button,gomb
buy,megvesz
buying,vásárlás
buzz,zümmögés
buzzing,zümmögő
bye,Viszlát
bye-bye,Viszlát
cab,taxi
cabin,kabin
cabinet,szekrény
cable,kábel
caesar,Caesar
cage,ketrec
cake,torta
california,Kalifornia
call,hívás
called,hívott
calling,hívás
calls,hívás
calm,nyugodt
cam,bütyök
came,jött
camera,kamera
cameras,kamerák
cameron,Cameron
camp,tábor
campaign,kampány
campus,egyetem
can,tud
canada,Kanada
cancel,megszünteti
cancer,rák
candidate,jelölt
candles,gyertyák
candy,cukorka
cannon,ágyú
cannot,nem tud
cap,sapka
capable,képes
capital,főváros
captain,kapitány
capture,elfog
captured,elfogott
car,autó
card,kártya
cards,kártyás kártyák
care,gondoskodás
cared,gondozott
career,karrier
careful,óvatos
carefully,gondosan
cares,gondoskodik
cargo,szállítmány
carl,carl
carla,Carla
carlos,carlos
carol,ének
caroline,karolin
carpet,szőnyeg
carrie,Carrie
carried,hordozott
carry,visz
carrying,hordozás
cars,autók
carson,Carson
cart,kocsi
carter,kocsis
case,ügy
cases,esetek
casey,casey
cash,készpénz
casino,kaszinó
cast,öntvény
castle,kastély
cat,macska
catch,fogás
catching,fogás
catherine,Catherine
catholic,katolikus
cats,macskák
cattle,marha
caught,elkapott
cause,ok
caused,okozott
causes,okoz
causing,okozó
cave,barlang
celebrate,ünnepel
celebrating,ünneplő
celebration,ünneplés
cell,sejt
cellphone,mobiltelefon
cells,sejtek
cemetery,temető
center,központ
central,központi
centre,központ
cents,cent
centuries,évszázadok
century,század
ceremony,ünnepség
certain,bizonyos
certainly,biztosan
certificate,bizonyítvány
chain,lánc
chair,szék
chairman,elnök
challenge,kihívás
chamber,kamra
champagne,pezsgő
champion,bajnok
chan,chan
chance,véletlen
chances,esély
change,változás
changed,megváltozott
changes,változtatások
changing,változó
channel,csatorna
chanting,éneklés
chaos,káosz
chap,pasas
chapter,fejezet
character,karakter
characters,karakterek
charge,díj
charged,töltött
charges,díj
charity,adomány
charles,Károly
charlie,Charlie
charlotte,Charlotte
charm,báj
charming,bájos
chase,üldözés
chasing,üldözés
chat,csevegés
chatter,csevegés
chattering,csevegés
cheap,olcsó
cheat,csal
cheated,becsapott
cheating,csalás
check,jelölje be
checked,ellenőrzött
checking,ellenőrzés
checks,ellenőrzés
cheer,éljenzés
cheering,éljenzés
cheers,Egészségére
cheese,sajt
chef,séf
chemical,kémiai
cherry,cseresznye
chess,sakk
chest,mellkas
chffffff,chffffff
chicago,Chicago
chick,csaj
chicken,csirke
chicks,csibék
chief,fő
child,gyermek
childhood,gyermekkor
children,gyermekek
chill,hideg
chin,áll
china,Kína
chinese,kínai
chip,Forgács
chips,hasábburgonya
chirping,csiripelés
chloe,chloe
chocolate,csokoládé
choice,választás
choices,választás
choose,választ
chop,szelet
chose,választott
chosen,választott
chris,Chris
christ,Krisztus
christian,keresztény
christina,Krisztina
christine,Christine
christmas,Karácsony
christopher,Christopher
chuck,dugasz
chuckles,kuncog
chuckling,kuncogva
church,templom
cia,CIA
cigarette,cigaretta
cigarettes,cigaretta
cindy,cindy
cinema,mozi
circle,kör
circumstances,körülmények
circus,cirkusz
cities,városok
citizen,polgár
citizens,polgárok
city,város
civil,civil
claim,követelés
claimed,igényelt
claims,igények
claire,Claire
clan,klán
clara,Clara
clark,zúgó
class,osztály
classes,osztályok
classic,klasszikus
claudia,Claudia
clay,agyag
clean,tiszta
cleaned,megtisztított
cleaning,tisztítás
clear,egyértelmű
cleared,tisztított
clearly,tisztán
clears,törlő
clever,okos
click,kattintás
clicking,kattintás
clicks,kattintás
client,ügyfél
clients,ügyfelek
cliff,szikla
climb,mászik
climbing,mászó
clinic,klinika
clock,óra
close,Bezárás
closed,zárva
closely,szorosan
closer,közelebb
closes,bezárul
closest,legközelebbi
closet,fülke
closing,záró
clothes,ruhák
clothing,ruházat
cloud,felhő
clouds,felhők
clown,bohóc
club,klub
clubs,klubok
clue,nyom
coach,távolsági busz
coal,szén
coast,tengerpart
coat,kabát
cocaine,kokain
cock,kakas
code,kód
coffee,kávé
coffin,koporsó
coin,érme
coincidence,véletlen egybeesés
coke,koksz
cold,hideg
cole,kelkáposzta
colin,kolin
collar,gallér
colleague,kolléga
colleagues,kollégák
collect,gyűjt
collection,Gyűjtemény
college,főiskola
colonel,ezredes
color,szín
colors,színek
colour,szín
coma,kóma
combat,harc
combination,kombináció
come,jön
comedy,komédia
comes,jön
comfort,kényelem
comfortable,kényelmes
comic,komikus
comin,elgondolkodva
coming,eljövetel
command,parancs
commander,parancsnok
comment,megjegyzés
commercial,kereskedelmi
commission,jutalék
commissioner,biztos
commit,elkövetni
commitment,elkötelezettség
committed,elkötelezett
committee,bizottság
common,gyakori
communicate,kommunikálni
communication,kommunikáció
communist,kommunista
community,közösség
companies,társaságok
company,vállalat
compare,összehasonlít
compared,ahhoz képest
competition,verseny
complain,panaszkodik
complaining,panaszkodás
complaint,panasz
complete,teljes
completed,befejezett
completely,teljesen
complex,összetett
complicated,bonyolult
computer,számítógép
computers,számítógépek
comrade,elvtárs
comrades,bajtársak
con,beilleszt
concentrate,sűrítmény
concept,koncepció
concern,vonatkozik
concerned,aggasztó
concerns,aggályok
concert,koncert
conclusion,következtetés
condition,feltétel
conditions,körülmények
conduct,magatartás
conference,konferencia
confess,bevallani
confession,gyónás
confidence,bizalom
confident,magabiztos
confirm,megerősít
confirmed,megerősített
conflict,konfliktus
confused,zavaros
congratulations,Gratulálunk
congress,Kongresszus
connect,összekapcsol
connected,csatlakoztatva
connection,kapcsolat
connie,Connie
connor,connor
conscience,lelkiismeret
consequences,következmények
consider,fontolgat
considered,figyelembe vett
considering,figyelembe véve
conspiracy,összeesküvés
constant,állandó
constantly,állandóan
construction,Építkezés
contact,kapcsolatba lépni
content,tartalom
contest,verseny
continue,folytatni
continued,folytatás
continues,folytatja
contract,szerződés
contrary,ellentétes
control,ellenőrzés
controlled,ellenőrzött
conversation,beszélgetés
conversations,beszélgetések
convince,meggyőz
convinced,meggyőződve
cook,szakács
cooked,főtt
cookie,aprósütemény
cookies,sütik
cooking,főzés
cool,menő
cooper,kádár
cooperate,együttműködik
cop,zsaru
copies,másolatok
cops,zsaruk
copy,másolat
core,mag
corn,kukorica
corner,sarok
corporal,tizedes
corporate,társasági
corpse,hulla
correct,helyes
corrected,javított
cos,kötözősaláta
cost,költség
costs,költségek
costume,kosztüm
cotton,pamut
couch,kanapé
coughing,köhögés
coughs,köhögés
could,tudott
couldn,nem tudott
council,tanács
counsel,jogi képviselő
counselor,tanácsadó
count,számol
counter,számláló
counting,számolás
countries,országok
country,ország
counts,számít
county,megye
couple,párosít
courage,bátorság
course,tanfolyam
court,bíróság
cousin,unokatestvér
cover,borító
covered,fedett
covering,burkolat
cow,tehén
coward,gyáva
cowboy,cowboy
cows,tehenek
crack,rés
craig,craig
crane,daru
crap,szar
crash,ütközés
crashed,összeomlott
crashing,összeomló
crazy,őrült
cream,krém
create,teremt
created,létrehozott
creating,létrehozás
creation,Teremtés
creative,kreatív
creature,teremtmény
creatures,lények
credit,hitel
creepy,hátborzongató
crew,legénység
cried,sírt
cries,sír
crime,bűn
crimes,bűncselekmények
criminal,Bűnügyi
criminals,bűnözők
crisis,válság
critical,kritikai
cross,kereszt
crossed,keresztezett
crossing,átkelés
crowd,tömeg
crown,korona
cruel,kegyetlen
cruise,hajókázás
crush,összetör
crushed,összetört
cry,kiáltás
crying,síró
crystal,kristály
culture,kultúra
cup,csésze
cure,gyógymód
curious,kíváncsi
current,jelenlegi
currently,jelenleg
curse,átok
cursed,átkozott
curtis,curtis
custody,őrizet
customer,vevő
customers,ügyfelek
cut,vágott
cute,aranyos
cuts,vágások
cutting,vágás
cycle,ciklus
dad,apu
daddy,apu
daily,napi
daisy,Százszorszép
dale,völgy
damage,kár
damaged,sérült
dammit,rohanó
damn,átkozott
damned,Átkozott
dan,Dan
dana,dána
dance,tánc
dancer,táncos
dancing,tánc
danger,veszély
dangerous,veszélyes
daniel,Dániel
danny,danny
dare,merészel
dark,sötét
darkness,sötétség
darling,Drágám
darn,stoppol
data,adat
date,dátum
dated,keltezett
dates,dátumok
dating,randevúzás
daughter,lánya
daughters,lányai
dave,Dave
david,Dávid
davis,Davis
dawn,hajnal
day,nap
days,napok
dead,halott
deadly,halálos
deaf,süket
deal,üzlet
dealer,kereskedő
dealing,foglalkozás
deals,ügylet
dean,dékán
dear,kedves
death,halál
deaths,halálozások
debate,vita
debbie,Debbie
debt,adósság
december,december
decent,megfelelő
decide,döntsd el
decided,határozott
decision,döntés
decisions,döntések
deck,fedélzet
dedicated,dedikált
deep,mély
deeper,mélyebb
deeply,mélyen
defeat,vereség
defeated,legyőzött
defence,védelem
defend,védekez
defendant,alperes
defense,védelem
definitely,egyértelműen
degree,fokozat
degrees,fokok
del,del
delay,késleltetés
delicate,törékeny
delicious,finom
delighted,örömteli
deliver,szállít
delivered,kiszállított
delivery,kézbesítés
demand,igény
demands,igények
demon,démon
demons,démonok
denied,megtagadta
dennis,Dennis
deny,tagadni
department,osztály
depends,attól függ
deposit,letét
depressed,nyomott
deputy,helyettes
derek,Derek
describe,leír
described,leírt
description,leírás
desert,sivatag
deserve,megérdemel
deserved,megérdemelt
deserves,megérdemel
design,tervezés
designed,tervezett
designer,tervező
desire,vágy
desk,asztal
desperate,kétségbeesett
despite,annak ellenére
dessert,desszert
destiny,sors
destroy,elpusztítani
destroyed,elpusztult
destroying,elpusztító
destruction,megsemmisítés
detail,Részlet
details,részletek
detective,nyomozó
detectives,nyomozók
determine,meghatároz
determined,eltökélt
develop,fejleszt
developed,fejlett
development,fejlesztés
device,eszköz
devil,ördög
dial,tárcsa
diamond,gyémánt
diamonds,gyémántok
diana,Diana
diane,diane
diary,napló
dick,fasz
did,tett
didn,nem tett
die,meghal
died,meghalt
diego,Diegó
dies,elhuny
diet,diéta
difference,különbség
different,különböző
differently,eltérően
difficult,nehéz
dig,ásás
digging,ásás
dignity,méltóság
dings,dings
dining,étkezés
dinner,vacsora
direct,közvetlen
directed,irányított
direction,irány
directly,közvetlenül
director,rendező
dirt,piszok
dirty,piszkos
disappear,eltűnik
disappeared,eltűnt
disappointed,csalódott
disaster,katasztrófa
discover,felfedez
discovered,felfedezett
discovery,felfedezés
discuss,megvitat
discussed,megvitatott
discussion,vita
disease,betegség
disgusting,undorító
dish,tál
dishes,edények
dismissed,elutasított
display,kijelző
distance,távolság
distant,távoli
district,kerület
disturb,zavar
disturbing,zavaró
dive,merül
divine,isteni
division,osztály
divorce,válás
divorced,elvált
dna,DNS
doc,dokumentum
doctor,orvos
doctors,orvosok
document,dokumentum
documents,dokumentumok
does,csinál
doesn,nem
dog,kutya
dogs,kutyák
doin,csinál
doing,cselekedet
doll,baba
dollar,dollár
dollars,dollár
don,Don
donald,Donald
done,Kész
donna,donna
dont,nem
door,ajtó
doorbell,csengő csengő
doors,ajtók
dope,kábítószer
dorothy,Dorothy
double,kettős
doubt,kétség
doug,Doug
dough,tészta
down,le-
downstairs,a földszinten
downtown,belváros
dozen,tucat
dr.,dr.
drag,húzás
dragged,húzott
dragon,sárkány
drama,dráma
dramatic,drámai
drank,ivott
draw,húz
drawer,rajzoló
drawing,rajz
drawn,húzott
dream,álom
dreamed,álmodott
dreaming,álmodozó
dreams,álmok
dress,ruha
dressed,öltözött
dressing,öltözködés
drew,rajzolt
drill,fúró
drink,ital
drinking,ivás
drinks,ital
drive,hajtás
driven,hajtott
driver,sofőr
drives,hajtások
driving,vezetés
drop,csepp
dropped,csökkent
dropping,csepegés
drops,csepp
drove,"hajtott, vezetett"
drown,megfullad
drowned,megfulladt
drug,drog
drugs,gyógyszerek
drum,dob
drunk,részeg
dry,száraz
duck,kacsa
dude,haver
due,esedékes
dug,ásta
duke,herceg
dull,unalmas
dumb,néma
dump,lerak
dumped,eldobott
duncan,duncan
dunno,nemtom
during,alatt
dust,por
dutch,holland
duties,feladat
duty,kötelesség
dying,haldoklik
dylan,dylan
e-mail,email
each,minden egyes
eagle,sas
ear,fül
earl,gróf
earlier,korábban
early,korai
earn,pénzt keres
earned,megkeresett
ears,fülek
earth,föld
ease,könnyed
easier,könnyebb
easily,könnyen
east,keleti
eastern,keleti
easy,könnyen
eat,eszik
eaten,evett
eating,enni
eats,eszik
economy,gazdaság
eddie,Eddie
edge,él
editor,szerkesztő
education,oktatás
edward,Edward
effect,hatás
effective,hatékony
effects,hatások
effort,erőfeszítés
efforts,erőfeszítések
egg,tojás
eggs,tojás
egypt,Egyiptom
eight,nyolc
either,bármelyik
elder,idősebb
election,választás
electric,elektromos
electricity,elektromosság
electronic,elektronikus
elements,elemek
elena,Elena
elephant,elefánt
elevator,lift
eleven,tizenegy
eli,eli
elizabeth,Erzsébet
ellen,Ellen
ellie,Ellie
elliot,Elliot
else,más
elsewhere,máshol
embarrassed,zavart
embarrassing,kínos
embassy,nagykövetség
embrace,ölelés
emergency,vészhelyzet
emily,Emily
emma,emma
emotion,érzelem
emotional,érzelmi
emotions,érzelmek
emperor,császár
empire,Birodalom
employee,munkavállaló
employees,alkalmazottak
empty,üres
end,vége
ended,vége lett
ending,befejező
ends,véget ér
enemies,ellenségek
enemy,ellenség
energy,energia
engaged,elkötelezett
engagement,elkötelezettség
engine,motor
engineer,mérnök
engines,motorok
england,Anglia
english,angol
enjoy,Élvezd
enjoyed,élvezett
enjoying,élvezve
enormous,hatalmas
enough,elég
enter,belép
entered,belépett
entering,belépő
entertainment,szórakozás
entire,teljes
entirely,teljesen
entrance,bejárat
entry,belépés
envelope,boríték
environment,környezet
envy,irigység
episode,epizód
equal,egyenlő
equipment,felszerelés
era,korszak
eric,Eric
erm,ERM
error,hiba
escape,menekülni
escaped,elmenekült
escort,kíséret
especially,különösen
estate,birtok
eternal,örök
ethan,Ethan
europe,Európa
european,európai
eva,EVA
evan,Evan
eve,előeste
even,még
evening,este
event,esemény
events,események
eventually,végül is
ever,valaha
every,minden
everybody,mindenki
everyday,minden nap
everyone,mindenki
everything,minden
everywhere,mindenhol
evidence,bizonyíték
evil,gonosz
exact,pontos
exactly,pontosan
exam,vizsga
example,példa
excellency,kiválóság
excellent,kiváló
except,kivéve
exchange,csere
excited,izgatott
excitement,izgalom
exciting,izgalmas
excuse,mentség
excuses,kifogások
executed,végrehajtott
executive,végrehajtó
exercise,gyakorlat
exhales,kilégzés
exhausted,kimerült
exist,létezik
existed,létezett
existence,létezés
exists,létezik
exit,kijárat
expect,elvár
expected,várt
expecting,várható
expensive,drága
experience,tapasztalat
experienced,tapasztalt
experiment,kísérlet
expert,szakértő
explain,elmagyaráz
explained,magyarázott
explains,magyarázza
explanation,magyarázat
explode,felrobban
explosion,robbanás
exposed,kitett
express,Expressz
expression,kifejezés
extra,külön-
extraordinary,rendkívüli
extreme,szélső
extremely,rendkívül
eye,szem
eyes,szemek
fabulous,mesés
face,arc
faced,arcú
faces,arcok
facility,létesítmény
facing,szembe néző
fact,tény
factory,gyár
facts,tények
fail,kudarcot vall
failed,nem sikerült
failure,kudarc
faint,elájul
fair,becsületes
fairly,meglehetősen
fairy,tündér
faith,hit
faithful,hűséges
fake,hamisítvány
fall,esik
fallen,elesett
falling,eső
falls,esés
false,hamis
fame,hírnév
familiar,ismerős
families,család
family,család
famous,híres
fan,ventilátor
fancy,díszes
fans,rajongók
fantastic,fantasztikus
fantasy,fantázia
far,messze
farewell,búcsú
farm,Farm
farmer,Gazda
fascinating,elbűvölő
fashion,divat
fast,gyors
faster,gyorsabban
fat,zsír
fate,sors
father,apa
fathers,apák
fault,hiba
favor,kedvelő
favorite,kedvenc
favour,kedvelő
favourite,kedvenc
fbi,FBI
fear,félelem
fears,félelem
feast,ünnep
fed,táplált
federal,szövetségi
fee,díj
feed,takarmányozás
feeding,táplálás
feel,érez
feeling,érzés
feelings,érzések
feels,érzi
feet,láb
felix,felix
fell,leesett
fella,fickó
fellas,fickó
fellow,fickó
felt,filc
female,női
fence,kerítés
festival,fesztivál
fetch,letöltés
fever,láz
few,kevés
field,terület
fields,mezők
fifteen,tizenöt
fifth,ötödik
fifty,ötven
fight,harc
fighter,harcos
fighting,harc
fights,harc
figure,ábra
figured,mintás
figures,figurák
file,irat
filed,benyújtott
files,irat
fill,tölt
filled,megtöltött
filling,töltő
film,film
filming,film forgatás
films,filmek
filthy,mocskos
final,végső
finally,végül
financial,pénzügyi
find,megtalálja
finding,lelet
finds,leletek
fine,bírság
finest,legjobb
finger,ujj
fingerprints,ujjlenyomatok
fingers,ujjak
finish,Befejez
finished,befejezett
fire,Tűz
fired,kirúgott
fires,tüzelés
firing,égetés
firm,cég
first,első
fish,hal
fishing,halászat
fist,ököl
fit,elfér
fits,illik
five,öt
fix,javítás
fixed,rögzített
flag,zászló
flame,láng
flames,Lángok
flash,vaku
flat,lakás
fleet,flotta
flesh,hús
flew,elrepült
flies,repül
flight,repülési
flip,flip
floating,úszó
floor,padló
florida,Florida
flow,folyam
flower,virág
flowers,virágok
fly,légy
flying,repülő
focus,fókusz
focused,összpontosított
folk,népi
folks,emberek
follow,kövesse
followed,követte
following,következő
fond,kedvel
food,étel
fool,bolond
fooled,becsapott
fooling,bolondság
foolish,bolond
fools,bolondok
foot,láb
footage,felvétel
football,futball
footsteps,lépcső
for,-ra
forbid,tilt
forbidden,tiltott
force,Kényszerítés
forced,kényszerű
forces,erők
ford,fordít
foreign,külföldi
forest,erdő
forever,örökké
forget,elfelejt
forgetting,elfelejtés
forgive,megbocsát
forgiveness,megbocsátás
forgot,elfelejtett
forgotten,elfelejtett
form,forma
formed,alakított
former,korábbi
forms,formák
fort,erőd
forth,tovább
fortune,szerencse
forward,előre
foster,elősegíti
fought,harcolt
foul,rossz
found,megtalált
foundation,Alapítvány
four,négy
fourth,negyedik
fox,róka
frame,keret
france,Franciaország
francis,Francis
francisco,Francisco
francs,frank
frank,őszinte
frankie,Frankie
franklin,franklin
frankly,őszintén szólva
fraud,csalás
freak,szörnyszülött
freaking,rettenetes
fred,fredes
freddy,ferde
free,ingyenes
freedom,szabadság
freeze,fagy
freezing,fagyasztó
french,Francia
fresh,friss
friday,péntek
fridge,hűtő
fried,sült
friend,barát
friendly,barátságos
friends,barátok
friendship,barátság
frightened,rémült
frog,béka
from,tól től
front,elülső
